sl_no,name,release_date,denomination,quantity,printer,stamp_images,fdc_images,brochure_pdf
8,Cultural Heritage of Western Odisha,20.02.2024,500 p (6),"1,11,000","Security Printing Press, Hyderabad",https://postagestamps.gov.in/Uploads/2024\SAMBALPUR stamp.jpg,https://postagestamps.gov.in/Uploads/2024\SAMBALPUR FDC cancelled2.jpg,https://postagestamps.gov.in/..\Pdf\2024\Brochure -Cultural Heritage of Western Odisha (1).pdf
9,Legendary Poets of Odisha,20.02.2024,2000 p,"1,11,000","Security Printing Press, Hyderabad",https://postagestamps.gov.in/Uploads/2024\MS.jpg,https://postagestamps.gov.in/Uploads/2024\Legendary Poets of Odisha FDC.jpg,https://postagestamps.gov.in/..\Pdf\2024\Final Brochure artwork Legendary Poets of Odisha (2).pdf
10,Sarangadhar Das,23.02.2024,500 p,"2,01,600","Security Printing Press, Hyderabad",https://postagestamps.gov.in/Uploads/2024\Stamp Sarangdhar.jpg,https://postagestamps.gov.in/Uploads/2024\FDC Sarangdhar.jpg,https://postagestamps.gov.in/..\Pdf\2024\artwork brochure SRDS.pdf
11,Yakshagana,25.02.2024,500 p,"3,02,360","Security Printing Press, Hyderabad",https://postagestamps.gov.in/Uploads/2024\4.jpg,https://postagestamps.gov.in/Uploads/2024\Yakshagana First Day cover 13-02-24.jpg,https://postagestamps.gov.in/..\Pdf\2024\Yakshgana brochure (1) (1).pdf
12,Centenary Year All India Railwaymen's Federation,27.02.2024,500 p,"3,04,100","Security Printing Press, Hyderabad",https://postagestamps.gov.in/Uploads/2024\AIRF 13-02-24.jpg,https://postagestamps.gov.in/Uploads/2024\cancelled AIRF First Day cover.jpg,https://postagestamps.gov.in/..\Pdf\2024\Commemorative Postage Stamp Centenary Year All India Railwaymen’s Federation (4).pdf
13,Mahatma Hansraj,20.04.2024,500 p,"3,01,600","Security Printing Press, Hyderabad",https://postagestamps.gov.in/Uploads/2024\Mahatma Hansraj Stamp.jpg,https://postagestamps.gov.in/Uploads/2024\Mahatma Hansraj FDC.jpg,https://postagestamps.gov.in/..\Pdf\2024\Brochure - Hansraj (5).pdf
14,Bhagwan Mahaveer 2550th Nirvan Kalyanak,21.04.2024,500 p,"2,01,600","Security Printing Press, Hyderabad",https://postagestamps.gov.in/Uploads/2024\Mahaveer stamp.jpg,https://postagestamps.gov.in/Uploads/2024\Mahavir FDC cancelled.jpg,https://postagestamps.gov.in/..\Pdf\2024\Mahavir Broucher (3).pdf
15,Siddharoodha Swami,06.07.2024,500 p,"3,02,650","Security Printing Press, Hyderabad",https://postagestamps.gov.in/Uploads/2024\Stamp Siddharoodha Swami.jpg,https://postagestamps.gov.in/Uploads/2024\FDC Siddharoodha Swami cancelled.jpg,https://postagestamps.gov.in/..\Pdf\2024\Brochure-Siddharoodha Swami (3).pdf
16,100th Birth Anniversary of Mukesh,24.07.2024,3000 p,"1,11,000","Security Printing Press, Hyderabad",https://postagestamps.gov.in/Uploads/2024\Mukesh Stamp.jpg,https://postagestamps.gov.in/Uploads/2024\MUKESH FDC .jpg,https://postagestamps.gov.in/..\Pdf\2024\Brochure-Birth Anniversary of Mukesh (1).pdf
17,Wazir Mohd Hakla Poonchi,24.07.2024,500 p,"3,02,052","Security Printing Press, Hyderabad",https://postagestamps.gov.in/Uploads/2024\WAzir Stamp.jpg,https://postagestamps.gov.in/Uploads/2024\new wazir hakla cancelled FDC.jpg,https://postagestamps.gov.in/..\Pdf\2024\Brochure-Wazir Mohd Hakla Poonchi.pdf
